String Key,English,Hindi,Swahili,Context/Location,Status,Notes
APP_NAME,FarmerChat,FarmerChat,FarmerChat,Brand name,DONE,DO NOT TRANSLATE - Brand name
CHOOSE_LANGUAGE,Choose your preferred language,अपनी पसंदीदा भाषा चुनें,Chagua lugha unayopendelea,Onboarding,DONE,
LANGUAGE_SUBTITLE,Select the language you're most comfortable with,वह भाषा चुनें जिसमें आप सबसे सहज हैं,Chagua lugha unayoijua zaidi,Onboarding,DONE,
WHERE_LOCATED,Where are you located?,आप कहाँ स्थित हैं?,Uko wapi?,Onboarding,DONE,
LOCATION_SUBTITLE,This helps us provide location-specific advice,यह हमें स्थान-विशिष्ट सलाह प्रदान करने में मदद करता है,Hii inatusaidia kutoa ushauri maalum wa eneo,Onboarding,DONE,
LOCATION_PERMISSION_RATIONALE,We need location permission to provide accurate local agricultural advice,सटीक स्थानीय कृषि सलाह प्रदान करने के लिए हमें स्थान की अनुमति चाहिए,Tunahitaji ruhusa ya mahali kutoa ushauri sahihi wa kilimo cha eneo,Permission dialog,DONE,
ENABLE_LOCATION,Enable Location,स्थान सक्षम करें,Wezesha Mahali,Button,DONE,
DETECT_MY_LOCATION,Detect My Location,मेरा स्थान पता लगाएं,Tambua Mahali Pangu,Button,DONE,
LOCATION_DETECTED,Location detected:,स्थान का पता चला:,Mahali pametambuliwa:,Status text,DONE,
GETTING_LOCATION,Getting your location...,आपका स्थान प्राप्त कर रहे हैं...,Tunapata mahali pako...,Loading text,DONE,
OR_ENTER_MANUALLY,Or enter location manually,या स्थान मैन्युअल रूप से दर्ज करें,Au weka mahali mwenyewe,Label,DONE,
LOCATION_PLACEHOLDER,"e.g., Nairobi, Kenya","उदा., नई दिल्ली, भारत","mfano, Nairobi, Kenya",Input placeholder,DONE,
SELECT_CROPS,Which crops do you grow?,आप कौन सी फसलें उगाते हैं?,Unapanda mazao gani?,Onboarding,DONE,
CROPS_SUBTITLE,Select all that apply,जो लागू हों सभी चुनें,Chagua yote yanayotumika,Subtitle,DONE,
SELECT_LIVESTOCK,Do you raise any livestock?,क्या आप कोई पशुधन पालते हैं?,Je, unafuga mifugo yoyote?,Onboarding,DONE,
LIVESTOCK_SUBTITLE,Select all that apply,जो लागू हों सभी चुनें,Chagua yote yanayotumika,Subtitle,DONE,
CONTINUE,Continue,जारी रखें,Endelea,Button,DONE,
BACK,Back,वापस,Rudi,Button,DONE,
NEXT,Next,आगे,Mbele,Button,DONE,
SKIP,Skip,छोड़ें,Ruka,Button,DONE,
DONE,Done,पूर्ण,Maliza,Button,DONE,
CANCEL,Cancel,रद्द करें,Ghairi,Button,DONE,
OK,OK,ठीक है,Sawa,Button,DONE,
RETRY,Retry,पुनः प्रयास करें,Jaribu tena,Button,DONE,
SEARCH,Search,खोजें,Tafuta,Button/Label,DONE,
CLEAR,Clear,साफ़ करें,Futa,Button,DONE,
SAVE,Save,सहेजें,Hifadhi,Button,PARTIAL,Missing translations
SEARCH_CROPS,Search crops,फसलें खोजें,Tafuta mazao,Placeholder,PARTIAL,Missing Swahili
SEARCH_LIVESTOCK,Search livestock,पशुधन खोजें,Tafuta mifugo,Placeholder,PARTIAL,Missing Swahili
MY_CONVERSATIONS,My Conversations,मेरी बातचीत,Mazungumzo Yangu,Screen title,DONE,
NEW_CONVERSATION,New Conversation,नई बातचीत,Mazungumzo Mapya,Button/FAB,DONE,
NO_CONVERSATIONS,No conversations yet,अभी तक कोई बातचीत नहीं,Hakuna mazungumzo bado,Empty state,DONE,
START_FIRST_CONVERSATION,Start your first conversation,अपनी पहली बातचीत शुरू करें,Anza mazungumzo yako ya kwanza,Empty state,DONE,
DELETE_CONVERSATION,Delete Conversation,बातचीत हटाएं,Futa Mazungumzo,Action,PARTIAL,Missing translations
SEARCH_CONVERSATIONS,Search conversations,बातचीत खोजें,Tafuta mazungumzo,Placeholder,PARTIAL,Missing translations
TYPE_MESSAGE,Type a message,संदेश टाइप करें,Andika ujumbe,Placeholder,DONE,
ASK_QUESTION,Ask a question...,प्रश्न पूछें...,Uliza swali...,Placeholder,DONE,
STARTER_QUESTIONS,Here are some questions to get you started:,शुरू करने के लिए कुछ प्रश्न:,Hapa kuna maswali ya kuanza:,Label,DONE,
WHAT_TO_KNOW_MORE,What would you like to know more about?,आप किस बारे में और जानना चाहेंगे?,Ungependa kujua zaidi kuhusu nini?,Prompt,DONE,
LISTENING,Listening...,सुन रहे हैं...,Nasikiliza...,Voice status,DONE,
TAP_TO_SPEAK,Tap to speak,बोलने के लिए टैप करें,Gusa ili uongee,Button hint,DONE,
RATE_RESPONSE,Rate this response,इस प्रतिक्रिया को रेट करें,Kadiria jibu hili,Action,PARTIAL,Missing translations
SPEAK_MESSAGE,Read aloud,जोर से पढ़ें,Soma kwa sauti,Action,PARTIAL,Missing translations
STOP_SPEAKING,Stop reading,पढ़ना बंद करें,Acha kusoma,Action,PARTIAL,Missing translations
SETTINGS,Settings,सेटिंग्स,Mipangilio,Screen title,PARTIAL,Missing translations
PROFILE,Profile,प्रोफ़ाइल,Wasifu,Section title,PARTIAL,Missing translations
NAME,Name,नाम,Jina,Label,PARTIAL,Missing translations
LOCATION,Location,स्थान,Mahali,Label,PARTIAL,Missing translations
CROPS,Crops,फसलें,Mazao,Label,PARTIAL,Missing translations
LIVESTOCK,Livestock,पशुधन,Mifugo,Label,PARTIAL,Missing translations
SELECTED,selected,चयनित,iliyochaguliwa,Suffix,PARTIAL,Missing translations
PREFERENCES,Preferences,प्राथमिकताएं,Mapendeleo,Section title,PARTIAL,Missing translations
LANGUAGE,Language,भाषा,Lugha,Label,PARTIAL,Missing translations
VOICE_RESPONSES,Voice Responses,वॉयस प्रतिक्रियाएं,Majibu ya Sauti,Setting,PARTIAL,Missing translations
